City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
282,Rocha,UY,-34.4833,-54.3333,57.54,95,0,5.77,clear sky
283,Dossor,KZ,47.5272,52.9811,26.31,58,0,15.05,clear sky
284,Banjar,ID,-8.19,114.9675,87.66,71,83,1.77,broken clouds
285,Ahipara,NZ,-35.1667,173.1667,73.6,80,81,5.79,broken clouds
286,Ukiah,US,39.1502,-123.2078,50.43,76,90,3.44,light rain
287,Gat,IL,31.61,34.7642,64.9,40,73,1.61,broken clouds
288,Nelson Bay,AU,-32.7167,152.15,74.75,71,68,3.0,broken clouds
289,Zhezkazgan,KZ,47.8043,67.7144,26.58,100,90,6.71,light snow
290,Manadhoo,MV,5.7667,73.3833,82.09,73,87,8.93,overcast clouds
291,Ginir,ET,7.1333,40.7,53.85,64,7,5.01,clear sky
292,Beisfjord,NO,68.3751,17.5988,33.26,90,100,6.64,light snow
293,Whitehorse,CA,60.7161,-135.0538,6.03,77,90,11.01,light snow
294,Atambua,ID,-9.1061,124.8925,84.56,68,58,4.36,broken clouds
295,Carutapera,BR,-1.195,-46.02,78.73,81,13,8.19,few clouds
296,Scarborough,GB,54.2797,-0.4044,51.91,91,100,3.0,overcast clouds
297,Iqaluit,CA,63.7506,-68.5145,-7.31,69,40,4.0,scattered clouds
298,Geraldton,AU,-28.7667,114.6,77.41,41,8,21.85,clear sky
299,Jining,CN,35.405,116.5814,45.37,34,57,10.96,broken clouds
300,Bend,US,44.0582,-121.3153,40.82,93,75,5.99,light rain
301,Roswell,US,34.0232,-84.3616,52.52,83,90,3.0,overcast clouds
302,Pingliang,CN,35.5392,106.6861,32.2,55,46,5.95,scattered clouds
303,Kruisfontein,ZA,-34.0033,24.7314,62.89,71,92,2.01,overcast clouds
304,Xai-Xai,MZ,-25.0519,33.6442,79.66,63,23,7.96,few clouds
305,Nizhnevartovsk,RU,60.9344,76.5531,1.42,85,0,6.71,clear sky
306,Sinnamary,GF,5.3833,-52.95,77.18,92,99,11.59,heavy intensity rain
307,Songea,TZ,-10.6833,35.65,63.41,90,21,5.3,few clouds
308,Lompoc,US,34.6391,-120.4579,50.56,78,1,0.0,clear sky
309,Zlotoryja,PL,51.1264,15.9198,29.37,90,49,5.93,scattered clouds
310,Stornoway,GB,58.2093,-6.3865,44.56,85,75,3.0,light rain
311,Majene,ID,-3.5403,118.9707,81.12,83,100,5.97,moderate rain
312,Dong Xoai,VN,11.5333,106.9167,84.87,54,97,0.78,overcast clouds
313,Kurilsk,RU,45.2333,147.8833,38.46,74,89,13.33,overcast clouds
314,Linfen,CN,36.0889,111.5189,42.08,25,41,4.63,scattered clouds
315,Tutoia,BR,-2.7619,-42.2744,81.09,80,70,11.7,broken clouds
316,General Roca,AR,-39.0333,-67.5833,64.8,32,1,12.35,clear sky
317,Ternate,ID,0.8,127.4,84.49,76,94,11.18,overcast clouds
318,Rawson,AR,-43.3002,-65.1023,67.44,28,3,17.6,clear sky
319,Nova Varos,RS,43.4606,19.8114,25.43,98,100,3.62,snow
320,Karachi,PK,24.9056,67.0822,58.82,63,42,4.61,smoke
321,Ancud,CL,-41.8697,-73.8203,48.42,84,81,17.38,light rain
322,Mount Gambier,AU,-37.8333,140.7667,85.91,19,0,11.5,clear sky
323,Carora,VE,10.1755,-70.0827,68.72,73,25,4.63,scattered clouds
324,Mpika,ZM,-11.8343,31.4529,63.05,69,4,5.93,clear sky
325,Belyy Yar,RU,53.6039,91.3903,10.29,87,100,2.24,smoke
326,Estelle,US,29.8458,-90.1067,60.01,62,96,7.0,overcast clouds
327,Itacare,BR,-14.2775,-38.9967,75.85,88,8,6.58,clear sky
328,Victoria,HK,22.2855,114.1577,77.04,69,0,5.99,clear sky
329,Saint-Andre-Lez-Lille,FR,50.6667,3.05,49.3,89,90,1.99,overcast clouds
330,Nautla,MX,20.2167,-96.7833,73.33,91,94,19.77,overcast clouds
331,Roald,NO,62.5833,6.1333,42.33,75,20,19.57,few clouds
332,Belmonte,BR,-15.8631,-38.8828,77.5,89,5,7.09,clear sky
333,Westport,US,41.1415,-73.3579,62.15,91,90,1.01,moderate rain
334,Maine-Soroa,NE,13.2114,12.0241,66.0,17,42,9.6,scattered clouds
335,Kavieng,PG,-2.5744,150.7967,84.0,76,100,7.54,light rain
336,Kohila,EE,59.1681,24.7575,34.43,99,100,3.56,overcast clouds
337,Aubenas,FR,44.6201,4.3899,38.37,83,99,7.27,overcast clouds
338,Te Anau,NZ,-45.4167,167.7167,66.43,36,16,2.66,few clouds
339,Freeport,US,40.6576,-73.5832,62.58,82,90,21.0,moderate rain
340,Havelock,US,34.8791,-76.9013,69.75,91,1,11.01,clear sky
341,Khani,GE,41.9563,42.9566,36.97,44,59,8.32,broken clouds
342,Muromtsevo,RU,56.3724,75.2418,-2.15,98,37,6.29,scattered clouds
